"No.","Ticker","Market Cap","Dividend Yield","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date","Price","Change","Volume"
616,"BBK",162.58,4.72%,,,,,,,,,,,,15.43,-0.16%,11257
617,"BBL",131585.30,8.53%,8.00%,16.50%,14.70%,1.60,1.30,0.47,0.56,,35.20%,18.10%,,45.89,-1.10%,2212167
618,"BBMC",,,,,,,,,,,,,,63.02,-1.14%,117
619,"BBN",1491.94,5.13%,,,,,,,,,,,,25.99,-0.46%,151275
620,"BBP",,,,,,,,,,,,,,48.50,0.20%,1295
621,"BBQ",46.15,,5.20%,20.20%,-3.30%,1.00,1.00,0.66,0.96,12.30%,2.10%,5.80%,,4.71,-5.80%,24666
622,"BBRE",,2.74%,,,,,,,,,,,,74.91,-1.77%,11495
623,"BBSA",,2.13%,,,,,,,,,,,,26.33,0.21%,8889
624,"BBSI",405.15,2.26%,5.30%,26.60%,21.40%,1.30,1.30,0.02,0.02,21.60%,5.10%,4.90%,8/4/2020 4:30:00 PM,52.34,-1.43%,60917
625,"BBU",2377.77,0.84%,,,,,,,,,,,8/6/2020 8:30:00 AM,29.85,0.84%,60196
626,"BBUS",,1.62%,,,,,,,,,,,,61.35,-0.88%,40174
627,"BBVA",19525.14,16.67%,0.00%,-0.20%,9.70%,,,1.57,1.73,,53.50%,-0.40%,07/30/2020,2.82,0.00%,2808107
628,"BBW",48.19,,0.10%,0.30%,0.30%,1.00,0.40,0.00,0.00,39.30%,0.60%,0.10%,9/1/2020 8:30:00 AM,3.33,4.06%,77938
629,"BBX",295.25,,-2.10%,-6.90%,-4.60%,,,1.56,1.56,59.50%,-13.20%,-5.30%,,14.85,-1.07%,22566
630,"BBY",27785.12,2.05%,9.90%,47.20%,32.80%,1.10,0.60,0.17,0.35,22.60%,5.00%,3.80%,8/25/2020 8:30:00 AM,105.63,-1.35%,1475977
631,"BC",5023.57,1.55%,-0.90%,-2.40%,4.10%,1.60,1.00,0.78,0.94,26.60%,2.90%,-0.80%,7/30/2020 8:30:00 AM,61.29,-1.22%,542633
632,"BCBP",140.71,6.91%,0.50%,6.00%,25.80%,,,0.15,0.15,,64.90%,12.00%,,8.19,0.99%,20205
633,"BCC",1693.27,0.97%,5.00%,12.20%,9.40%,2.50,1.50,0.64,0.64,15.20%,3.10%,1.80%,8/3/2020 8:30:00 AM,40.54,-2.01%,201475
634,"BCD",,1.79%,,,,,,,,,,,,23.60,0.61%,1957
635,"BCDA",29.06,,-172.40%,-455.60%,-613.90%,2.70,2.70,0.04,0.07,86.30%,,,,2.34,1.30%,94340
636,"BCE",38067.26,5.93%,4.00%,14.10%,10.00%,0.90,0.90,1.49,1.64,69.70%,20.70%,10.50%,8/6/2020 8:30:00 AM,42.64,0.76%,818852
637,"BCEI",415.34,,6.00%,7.50%,10.40%,1.70,1.60,0.06,0.06,84.40%,4.00%,28.90%,8/6/2020 4:30:00 PM,20.37,-0.10%,161989
638,"BCEL",421.14,,-40.60%,-42.70%,,20.20,20.20,0.00,0.00,,,,,14.59,2.03%,207035
639,"BCH",8423.40,5.10%,1.30%,15.60%,5.90%,,,3.12,3.89,,44.20%,26.30%,,16.20,-0.55%,125597
640,"BCI",,1.82%,,,,,,,,,,,,20.33,0.00%,32683
641,"BCLI",468.90,,-223.40%,,,1.90,1.90,0.00,0.00,,,,8/5/2020 8:30:00 AM,14.62,1.18%,232451
642,"BCM",,,,,,,,,,,,,,27.35,-0.94%,938
643,"BCML",135.68,,0.80%,6.40%,22.60%,,,0.03,0.03,,87.20%,18.40%,,11.35,0.89%,22022
644,"BCO",2280.67,1.31%,0.40%,13.00%,9.60%,1.60,1.60,21.23,22.31,21.50%,4.20%,0.50%,7/29/2020 8:30:00 AM,45.94,0.64%,245261
645,"BCOR",467.25,,-30.00%,-62.60%,6.60%,2.00,2.00,1.00,1.00,44.70%,-47.20%,-43.00%,8/5/2020 8:30:00 AM,9.34,-3.01%,348169
646,"BCOV",394.96,,-10.70%,-26.20%,-29.20%,0.80,0.80,0.07,0.00,60.10%,-9.20%,-9.90%,7/22/2020 4:30:00 PM,10.03,-0.30%,112810
647,"BCPC",3105.94,0.55%,7.20%,10.80%,8.60%,3.90,2.70,0.28,0.28,32.60%,15.30%,12.20%,7/31/2020 8:30:00 AM,95.27,0.52%,92169
648,"BCRX",695.42,,-75.50%,-603.60%,-84.10%,2.00,1.90,0.41,1.05,94.60%,,,8/6/2020 8:30:00 AM,3.99,0.50%,4336386
649,"BCS",23873.51,2.80%,,,2.70%,,,1.81,1.81,,,,7/30/2020 8:30:00 AM,5.20,-1.70%,3237736
650,"BCSF",679.26,12.76%,-1.60%,-4.40%,3.30%,,,1.51,1.51,43.70%,41.10%,-20.90%,8/5/2020 4:30:00 PM,10.70,0.38%,189441
651,"BCTG",189.13,,,,,,,,,,,,,10.14,-0.20%,23042
652,"BCV",135.54,4.58%,,,,,,,,,,,,24.92,-1.58%,49031
653,"BCX",579.18,7.47%,,,,,,,,,,,,6.38,-0.78%,180472
654,"BCYC",421.03,,-31.50%,-43.70%,-27.90%,6.60,6.60,0.00,0.00,,,,,20.65,-0.29%,46350
655,"BDC",1441.27,0.62%,-26.30%,-89.60%,6.90%,2.20,1.80,1.87,0.00,36.30%,-10.80%,-48.30%,7/29/2020 8:30:00 AM,32.58,0.52%,239987
656,"BDCS",,12.25%,,,,,,,,,,,,14.42,0.35%,763
657,"BDCY",,,,,,,,,,,,,,7.60,-0.65%,7250
658,"BDCZ",,12.35%,,,,,,,,,,,,14.38,-0.26%,4017
659,"BDEC",,,,,,,,,,,,,,28.05,-0.50%,3656
660,"BDGE",391.44,4.87%,0.90%,9.50%,21.30%,,,0.16,0.16,,80.60%,26.00%,7/28/2020 4:30:00 PM,19.56,-0.86%,45693
661,"BDJ",1400.94,8.03%,,,,,,,,,,,,7.51,0.54%,831626
662,"BDL",29.68,1.82%,1.70%,4.10%,10.70%,1.80,1.60,0.56,0.70,58.50%,3.40%,1.40%,,16.99,3.03%,1104
663,"BDN",1948.16,6.82%,0.90%,2.20%,2.90%,,,1.27,1.27,61.80%,19.90%,6.10%,7/22/2020 4:30:00 PM,11.04,-0.90%,1699499
664,"BDR",7.53,,-48.20%,-120.40%,-75.80%,1.50,0.50,0.63,1.14,11.70%,-44.80%,-46.40%,,0.80,1.53%,74529
665,"BDRY",,,,,,,,,,,,,,7.64,0.53%,19530
666,"BDSI",411.87,,3.00%,7.70%,2.90%,2.80,2.50,0.92,0.92,82.70%,8.10%,4.20%,8/5/2020 8:30:00 AM,4.05,1.00%,460738
667,"BDTX",1059.22,,-19.30%,-30.00%,,33.90,33.90,0.00,0.00,,,,8/11/2020 8:30:00 AM,31.33,4.68%,459677
668,"BDX",65361.94,1.39%,1.50%,3.60%,4.30%,1.50,1.00,0.71,0.78,45.40%,7.90%,4.70%,8/6/2020 8:30:00 AM,227.86,0.37%,1597447
669,"BE",2023.29,,-21.90%,109.70%,-28.00%,1.50,1.10,,,12.40%,-28.80%,-40.10%,7/28/2020 4:30:00 PM,14.55,-2.41%,2454043
670,"BEAM",1493.39,,-50.30%,-401.00%,,6.00,6.00,0.02,0.03,,,,,28.39,-1.36%,642468
671,"BEAT",1291.73,,2.70%,5.20%,7.60%,2.50,2.40,0.41,0.41,62.30%,10.00%,4.40%,7/30/2020 4:30:00 PM,43.00,5.63%,802549
672,"BECN",2142.50,,-2.20%,-8.40%,3.30%,2.30,1.60,1.98,1.99,24.10%,-0.20%,-2.10%,8/6/2020 4:30:00 PM,30.43,-2.47%,335218
673,"BEDU",181.79,1.73%,2.80%,9.20%,4.50%,1.40,1.40,0.75,1.07,37.50%,12.70%,7.70%,7/22/2020 4:30:00 PM,6.75,-2.46%,12972
674,"BEKE",70026.56,,,,264.90%,1.90,1.90,,,23.70%,100.00%,0.00%,,57.55,-5.22%,4766287
675,"BELFB",112.66,2.54%,,,,,,,,,,,,11.04,0.27%,31630
676,"BEN",10349.73,5.13%,6.80%,10.10%,10.50%,,,0.07,0.14,,25.90%,18.80%,7/28/2020 8:30:00 AM,21.00,-0.28%,1674389
677,"BEP",8385.16,3.80%,,,,,,,,,,,8/7/2020 8:30:00 AM,45.93,0.28%,287660
678,"BEPC",6046.80,3.30%,,,5.80%,1.40,1.40,0.73,0.76,63.40%,,,,52.69,-0.02%,335164
679,"BERY",6815.02,,3.50%,34.30%,6.80%,1.90,1.30,5.72,5.76,19.20%,10.50%,5.10%,7/31/2020 8:30:00 AM,50.99,-0.32%,1241915
680,"BEST",1858.47,,-3.70%,-20.40%,-4.40%,0.90,0.80,0.88,1.76,4.60%,-2.50%,-2.10%,8/17/2020 4:30:00 PM,3.39,-2.02%,1099281
681,"BETZ",,,,,,,,,,,,,,20.90,0.10%,290809
682,"BF-A",11892.17,1.00%,,,,,,,,,,,,69.62,-1.01%,38085
683,"BF-B",36259.25,0.90%,16.80%,47.80%,19.90%,3.30,1.70,1.08,1.26,62.50%,36.70%,28.80%,9/2/2020 8:30:00 AM,77.20,-0.95%,823203
684,"BFAM",8725.23,,3.60%,12.00%,11.20%,1.20,1.20,0.86,0.86,23.50%,9.90%,6.60%,8/5/2020 4:30:00 PM,141.61,-1.01%,665384
685,"BFEB",,,,,,,,,,,,,,25.20,-1.17%,47
686,"BFIN",114.33,5.18%,0.80%,7.00%,25.30%,,,0.00,0.00,,81.70%,20.10%,,7.66,-0.78%,16473
687,"BFIT",,0.41%,,,,,,,,,,,,22.08,-0.23%,29081
688,"BFK",624.50,4.88%,,,,,,,,,,,,13.94,0.07%,32077
689,"BFO",78.24,0.20%,,,,,,,,,,,,14.73,-0.14%,941
690,"BFOR",,0.75%,,,,,,,,,,,,42.14,-0.94%,752
