"No.","Ticker","Market Cap","Dividend Yield","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date","Price","Change","Volume"
1,"A",30797.34,0.72%,7.30%,14.30%,15.20%,2.50,1.90,0.46,0.47,53.30%,15.30%,13.20%,8/18/2020 4:30:00 PM,99.60,-0.32%,977597
2,"AA",2547.31,,-4.60%,-15.40%,-9.60%,1.40,0.80,0.49,0.49,14.80%,-1.30%,-6.70%,7/15/2020 4:30:00 PM,13.44,-3.27%,6962729
3,"AAAU",,,,,,,,,,,,,,19.42,-0.46%,680632
4,"AACG",35.82,,-22.50%,-52.70%,-45.10%,0.50,0.50,0.00,0.02,35.00%,,-96.60%,8/12/2020 4:30:00 PM,1.09,-2.68%,6684
5,"AACQ",722.69,,,,,,,,,,,,,9.93,-0.45%,71238
6,"AADR",,0.02%,,,,,,,,,,,,56.02,-1.20%,1314
7,"AAL",7047.94,2.90%,-5.70%,240.80%,10.30%,0.80,0.70,,,56.90%,-10.50%,-10.40%,7/23/2020 8:30:00 AM,13.63,-1.23%,49401385
8,"AAMC",36.68,,-33.90%,7.90%,4.50%,,,,,,-67.90%,,,21.37,-5.02%,11092
9,"AAME",41.44,,-0.60%,-1.80%,1.10%,,,0.27,0.27,,-0.10%,-1.10%,,2.10,5.00%,6751
10,"AAN",3912.47,0.28%,-9.00%,-17.00%,2.10%,,,0.19,0.19,96.70%,-8.40%,-6.80%,7/29/2020 8:30:00 AM,56.75,-0.87%,377238
11,"AAOI",241.69,,-16.90%,-29.20%,-15.60%,1.80,1.00,0.36,0.56,21.60%,-25.90%,-39.70%,8/6/2020 4:30:00 PM,10.43,-0.10%,321738
12,"AAON",3003.05,0.66%,17.90%,23.20%,18.10%,2.90,1.80,0.02,0.02,29.00%,17.20%,13.90%,8/6/2020 4:30:00 PM,57.81,-0.05%,207695
13,"AAP",10620.68,0.65%,3.90%,12.70%,12.30%,1.40,0.50,0.33,0.00,43.80%,6.60%,4.70%,8/18/2020 8:30:00 AM,154.84,0.13%,541681
14,"AAPL",1943219.58,0.73%,17.70%,70.70%,26.90%,1.50,1.40,1.31,1.57,38.20%,24.50%,21.30%,7/30/2020 4:30:00 PM,110.34,-1.60%,173454846
15,"AAT",1613.06,3.80%,1.60%,3.50%,4.30%,,,1.08,1.08,65.30%,29.80%,12.10%,7/28/2020 4:30:00 PM,26.02,-1.21%,181111
16,"AAU",107.19,,-5.40%,-5.90%,,6.70,6.70,0.04,0.04,,,,,1.02,-2.86%,1442750
17,"AAWW",1603.79,,-4.40%,-12.80%,-5.00%,1.00,1.00,1.16,1.30,56.00%,-10.00%,-8.70%,8/6/2020 8:30:00 AM,61.11,-0.02%,499599
18,"AAXJ",,1.68%,,,,,,,,,,,,77.95,-0.57%,1541610
19,"AAXN",5338.63,,-3.50%,-5.30%,-1.40%,3.60,3.30,0.00,0.00,59.10%,-3.70%,-5.60%,8/6/2020 4:30:00 PM,82.83,-1.07%,288147
20,"AB",2653.85,8.75%,17.20%,17.30%,15.40%,,,0.00,0.00,,100.00%,90.00%,7/23/2020 8:30:00 AM,27.81,-0.32%,315382
21,"ABB",56806.04,3.18%,3.30%,12.20%,5.20%,1.20,1.00,0.51,1.04,31.60%,8.20%,5.80%,7/22/2020 8:30:00 AM,26.08,-0.15%,895784
22,"ABBV",158358.45,5.26%,7.10%,-303.40%,21.20%,0.90,0.70,5.58,5.94,73.30%,30.20%,19.10%,7/31/2020 8:30:00 AM,89.63,-0.17%,4537536
23,"ABC",19798.39,1.74%,3.90%,47.30%,13.00%,1.00,0.60,0.94,1.07,2.60%,0.60%,0.80%,8/5/2020 8:30:00 AM,96.81,0.02%,530733
24,"ABCB",1643.30,2.53%,0.70%,5.50%,15.20%,,,0.16,0.16,,66.50%,17.90%,7/27/2020 8:30:00 AM,23.63,-0.42%,256347
25,"ABEO",170.19,,-53.80%,-72.00%,,2.90,2.90,0.00,0.01,,,,,1.96,3.70%,997954
26,"ABEQ",,,,,,,,,,,,,,23.83,-0.54%,6019
27,"ABEV",38074.10,4.96%,,,,,,,,,,,,2.55,5.37%,34820298
28,"ABG",2049.93,,5.40%,24.10%,11.30%,1.80,1.10,1.66,2.47,16.30%,4.30%,2.30%,7/28/2020 8:30:00 AM,101.10,-1.81%,229225
29,"ABIO",30.41,,-53.30%,-60.60%,,8.70,8.70,0.00,0.00,,,,,5.07,-0.98%,596799
30,"ABM",2616.22,1.97%,-0.10%,-0.30%,7.50%,1.50,1.50,0.46,0.52,13.60%,1.40%,-0.10%,9/8/2020 4:30:00 PM,38.43,2.40%,399651
31,"ABMD",12463.70,,13.30%,15.10%,17.90%,5.60,4.80,0.00,0.00,81.20%,27.30%,19.90%,8/6/2020 8:30:00 AM,276.14,0.63%,314262
32,"ABR",1375.82,10.24%,0.80%,5.20%,2.50%,,,4.81,4.81,64.30%,9.50%,9.90%,,12.17,0.50%,839085
33,"ABT",185893.53,1.36%,4.60%,10.10%,8.20%,1.60,1.10,0.59,0.64,57.70%,12.80%,9.90%,7/16/2020 8:30:00 AM,106.73,0.97%,2965391
34,"ABTX",504.43,1.61%,0.80%,5.50%,17.90%,,,0.49,0.49,,77.50%,16.80%,7/30/2020 8:30:00 AM,24.48,-1.29%,41302
35,"ABUS",238.61,,-138.80%,225.70%,203.20%,13.50,13.50,,,,,,8/7/2020 8:30:00 AM,2.98,2.76%,2320544
36,"AC",830.27,0.54%,-2.20%,-2.40%,-3.10%,,,0.00,0.01,,-34.00%,-72.20%,,37.32,1.00%,4845
37,"ACA",2195.69,0.44%,4.90%,6.50%,6.30%,2.50,1.40,0.14,0.14,19.40%,8.80%,6.30%,7/30/2020 4:30:00 PM,45.77,1.04%,185101
38,"ACAD",6193.21,,-29.50%,-33.50%,-35.40%,8.50,8.40,0.00,0.00,94.80%,-59.90%,-57.30%,8/5/2020 4:30:00 PM,40.76,3.98%,1245812
39,"ACAM",397.62,,0.70%,0.70%,,3.90,3.90,0.00,0.00,,,,,10.37,0.10%,47827
40,"ACB",789.12,,,,,,,,,,,,9/22/2020 4:30:00 PM,6.90,-1.57%,3055797
41,"ACBI",260.02,,0.70%,5.80%,18.70%,,,0.15,0.15,,79.60%,18.80%,7/23/2020 4:30:00 PM,12.03,0.17%,42560
42,"ACC",5223.75,5.01%,1.50%,3.40%,3.00%,,,1.08,1.08,52.50%,24.70%,12.00%,7/20/2020 4:30:00 PM,37.02,-1.28%,864246
43,"ACCD",1637.94,,,,25.50%,0.60,0.60,,,40.80%,-47.20%,-49.60%,8/13/2020 4:30:00 PM,32.44,-2.87%,249819
44,"ACCO",561.27,4.33%,3.10%,11.40%,8.80%,1.80,1.10,1.37,1.44,31.40%,8.50%,4.70%,7/28/2020 4:30:00 PM,6.21,3.33%,1485074
45,"ACEL",1237.88,,-5.90%,-18.50%,1.60%,3.60,3.60,5.86,6.14,35.90%,-0.90%,-5.60%,,14.32,0.56%,251283
46,"ACER",32.36,,-108.40%,-127.00%,,2.10,2.10,0.00,0.00,,,,,2.54,-1.17%,259814
47,"ACES",,1.36%,,,,,,,,,,,,51.60,-2.79%,33405
48,"ACEVU",,,,,,,,,,,,,,10.07,-0.25%,383069
49,"ACGL",12600.61,,2.90%,10.40%,13.10%,,,0.29,0.29,,18.50%,15.40%,7/29/2020 4:30:00 PM,30.42,-0.62%,1539963
50,"ACH",6765.09,,0.20%,0.80%,3.70%,0.70,0.40,1.08,1.86,5.80%,3.60%,0.20%,,5.80,0.17%,16509
51,"ACHC",2582.88,,1.60%,4.30%,5.20%,1.20,1.10,1.24,1.27,,9.20%,3.40%,8/4/2020 4:30:00 PM,29.94,-0.53%,498908
52,"ACHV",36.13,,-79.80%,-94.10%,,7.00,7.00,0.00,0.00,,,,8/6/2020 4:30:00 PM,10.97,9.92%,620722
53,"ACI",6299.56,,4.00%,48.80%,10.90%,1.10,0.40,7.10,7.28,28.80%,3.00%,1.50%,7/27/2020 8:30:00 AM,13.32,1.22%,2098386
54,"ACIA",2883.87,,8.10%,10.10%,3.90%,5.00,4.70,0.00,0.00,48.00%,8.50%,11.70%,,68.48,-0.29%,245886
55,"ACIO",,,,,,,,,,,,,,26.49,-0.41%,12665
56,"ACIU",633.12,,-8.40%,-9.10%,16.20%,20.60,20.60,0.01,0.01,,-49.40%,-51.20%,8/5/2020 8:30:00 AM,8.95,1.24%,162479
57,"ACIW",3030.07,,2.40%,7.10%,4.70%,1.50,1.50,1.18,1.21,50.90%,12.50%,5.70%,8/6/2020 8:30:00 AM,26.61,0.26%,1067501
58,"ACLS",752.76,,6.30%,8.20%,4.30%,4.80,3.10,0.11,0.11,41.10%,10.80%,8.30%,8/4/2020 4:30:00 PM,22.30,0.72%,297230
59,"ACM",6255.22,,-3.10%,-11.80%,0.30%,1.30,1.30,0.55,0.55,5.10%,-0.70%,-2.90%,8/4/2020 8:30:00 AM,40.16,1.41%,1621779
60,"ACMR",1174.90,,11.00%,22.70%,16.50%,3.70,2.90,0.00,0.14,46.70%,14.80%,15.50%,8/5/2020 4:30:00 PM,70.35,-1.08%,447780
61,"ACN",151591.17,1.34%,15.10%,32.40%,33.90%,1.40,1.40,0.00,0.00,31.40%,14.70%,11.10%,9/24/2020 8:30:00 AM,236.84,-1.08%,1684358
62,"ACNB",188.26,4.64%,1.30%,11.80%,28.10%,,,0.00,0.00,,75.70%,30.50%,,21.39,-0.70%,7504
63,"ACOR",27.74,,-28.10%,-74.60%,-48.20%,1.10,0.90,0.54,0.77,83.00%,,,8/4/2020 4:30:00 PM,0.58,5.53%,1460682
64,"ACP",176.59,,,,,,,,,,,,,10.10,-0.30%,107412
65,"ACRE",350.13,12.95%,0.60%,2.50%,2.10%,,,3.29,3.29,51.30%,8.30%,8.00%,8/6/2020 8:30:00 AM,10.17,-0.20%,202555
66,"ACRS",103.56,,-91.80%,-153.90%,-158.70%,4.00,,0.21,0.23,18.40%,,,,2.54,6.28%,278409
67,"ACRX",117.84,,-58.30%,107.40%,340.90%,3.00,2.80,,,-51.30%,,,8/10/2020 4:30:00 PM,1.37,7.03%,1698444
68,"ACSG",,2.81%,,,,,,,,,,,,27.91,-0.61%,43
69,"ACSI",,1.71%,,,,,,,,,,,,36.60,-2.07%,378
70,"ACST",18.85,,,,,,,,,,,,,0.19,0.15%,2858604
71,"ACT",,2.69%,,,,,,,,,,,,26.36,-1.61%,4110
72,"ACTG",189.69,,-5.70%,-8.60%,-17.20%,2.90,2.90,0.00,0.70,75.50%,,,8/10/2020 8:30:00 AM,3.80,0.26%,46577
73,"ACU",76.24,2.13%,5.70%,11.50%,8.00%,4.20,2.00,0.72,0.72,36.50%,6.30%,4.30%,7/17/2020 8:30:00 AM,22.45,-0.18%,18875
74,"ACV",269.68,,,,,,,,,,,,,25.66,-1.53%,38608
75,"ACWF",,2.39%,,,,,,,,,,,,29.87,-0.65%,2126
76,"ACWI",,2.07%,,,,,,,,,,,,80.66,-0.54%,1413493
77,"ACWV",,1.59%,,,,,,,,,,,,92.67,-0.32%,185148
78,"ACWX",,2.96%,,,,,,,,,,,,47.20,-0.06%,1046988
79,"ACY",3.36,,-27.10%,-231.40%,-12.00%,,,379.67,379.67,,,,,2.23,0.90%,2372
80,"ADAP",1700.33,,-42.70%,-58.60%,-113.30%,11.90,11.90,0.00,0.00,,,,8/6/2020 8:30:00 AM,10.75,-0.28%,644641
81,"ADBE",230698.16,,17.70%,35.10%,20.60%,1.30,1.30,0.38,0.38,85.60%,31.40%,30.70%,9/15/2020 4:30:00 PM,474.30,-0.36%,4455507
82,"ADC",3738.89,3.46%,3.20%,5.00%,3.90%,,,0.36,0.36,88.10%,53.40%,41.80%,7/20/2020 4:30:00 PM,66.57,-3.93%,430220
83,"ADCT",3004.72,,,,,,,,,,,,8/18/2020 8:30:00 AM,45.01,5.93%,99846
84,"ADES",77.23,,-7.90%,-12.80%,-17.50%,1.50,1.10,0.13,0.45,28.80%,-79.40%,-21.50%,8/10/2020 4:30:00 PM,4.01,-2.91%,137746
85,"ADI",42883.16,2.15%,5.20%,9.50%,9.20%,1.50,1.10,0.44,0.47,65.40%,24.90%,20.10%,8/19/2020 8:30:00 AM,115.49,-0.06%,2343316
86,"ADIL",18.32,,-96.50%,-104.10%,,13.90,13.90,0.00,0.00,,,,,1.30,0.00%,39465
87,"ADM",25990.90,3.02%,4.00%,9.30%,4.20%,1.70,1.10,0.45,0.48,6.70%,2.40%,2.80%,7/29/2020 4:30:00 PM,47.77,0.23%,2996292
88,"ADMA",210.96,,-36.80%,-104.30%,,11.10,6.80,1.26,1.26,-34.10%,,,8/5/2020 4:30:00 PM,2.41,0.42%,1857871
89,"ADME",,0.92%,,,,,,,,,,,,33.08,-1.34%,29721
90,"ADMP",63.51,,-73.70%,-103.20%,-76.90%,1.00,0.80,0.09,0.23,17.30%,,,,0.79,-2.22%,741481
91,"ADMS",147.76,,-50.20%,,-72.70%,5.80,5.60,,,96.30%,,,8/6/2020 4:30:00 PM,4.61,3.83%,133357
92,"ADNT",1640.39,,-5.00%,-32.30%,-8.20%,1.10,0.90,3.32,3.62,4.30%,-1.20%,-4.00%,8/6/2020 8:30:00 AM,17.71,0.74%,759997
93,"ADP",58526.75,2.64%,5.80%,44.90%,30.80%,1.00,1.00,0.17,0.35,42.20%,21.30%,16.90%,7/29/2020 8:30:00 AM,137.87,0.12%,1448087
94,"ADPT",6047.29,,-11.20%,-17.80%,-12.90%,6.40,6.30,0.00,0.00,76.30%,,,8/10/2020 4:30:00 PM,44.87,-1.90%,782623
95,"ADRE",,1.78%,,,,,,,,,,,,46.95,-1.48%,2548
96,"ADRO",212.35,,-22.30%,-101.70%,-133.70%,8.90,8.90,0.00,0.00,,,,8/3/2020 8:30:00 AM,2.49,-4.60%,161938
97,"ADS",2244.28,1.79%,0.20%,4.20%,4.70%,1.80,1.80,8.32,16.83,55.90%,18.10%,1.10%,7/23/2020 8:30:00 AM,47.59,1.15%,663814
98,"ADSK",50760.28,,6.50%,-379.90%,14.00%,0.80,0.80,24.31,24.31,90.80%,14.70%,10.30%,8/25/2020 4:30:00 PM,226.97,-1.64%,1834482
99,"ADSW",2724.66,,0.00%,0.00%,3.40%,0.70,0.70,1.86,1.91,,5.60%,0.00%,7/30/2020 4:30:00 PM,30.25,0.33%,935929
100,"ADT",7204.67,1.50%,-4.00%,-21.00%,1.50%,0.50,0.40,3.47,3.49,71.50%,-2.00%,-12.50%,8/5/2020 4:30:00 PM,9.16,-2.14%,13086416
101,"ADTN",496.48,3.40%,-12.50%,-17.80%,-16.80%,2.90,1.90,0.00,0.00,42.00%,-9.60%,-14.20%,8/5/2020 4:30:00 PM,10.35,-2.31%,265745
102,"ADTX",19.91,,,,,0.00,0.00,,,,,,,1.98,1.02%,426089
103,"ADUS",1482.48,,4.80%,6.30%,5.10%,3.20,3.20,0.12,0.12,28.90%,5.60%,4.10%,8/10/2020 4:30:00 PM,96.08,-0.06%,75400
104,"ADVM",1190.68,,-31.50%,-37.70%,-39.20%,13.30,13.30,0.00,0.00,,,,8/10/2020 4:30:00 PM,12.83,-0.16%,332697
105,"ADX",1768.27,1.23%,,,,,,,,,,,,16.12,-0.92%,135176
106,"ADXN",,,,,,,,,,,,,,13.52,-2.25%,560
107,"ADXS",27.24,,-66.40%,-81.60%,-49.70%,8.40,8.40,0.00,0.00,,,,6/11/2020 8:30:00 AM,0.43,-1.94%,784508
108,"AE",93.48,4.54%,-1.60%,-3.20%,3.80%,1.80,1.60,0.03,0.05,1.00%,-1.00%,-0.30%,,21.10,-0.24%,1613
109,"AEE",19222.34,2.54%,2.90%,10.40%,6.10%,0.80,0.60,1.24,1.29,86.50%,22.30%,14.60%,8/6/2020 4:30:00 PM,77.61,-0.42%,775580
110,"AEF",343.59,,,,,,,,,,,,,6.72,-0.74%,18097
111,"AEG",5615.58,5.32%,,,3.50%,,,0.15,0.42,,,,,2.61,-0.76%,1900155
112,"AEGN",462.65,,-0.60%,-1.50%,0.60%,2.00,1.80,0.55,0.62,20.30%,1.90%,-0.50%,7/29/2020 4:30:00 PM,15.03,1.55%,81318
113,"AEHR",34.42,,-12.70%,-18.10%,-17.70%,4.60,2.50,0.07,0.12,37.60%,-12.40%,-12.60%,7/16/2020 4:30:00 PM,1.51,2.03%,105518
114,"AEIS",2264.04,,4.20%,9.50%,4.30%,2.70,2.00,0.44,0.46,36.60%,8.00%,5.60%,8/5/2020 8:30:00 AM,60.03,-0.07%,269175
115,"AEL",2051.50,1.36%,0.40%,5.60%,33.30%,,,0.11,0.11,,,10.20%,8/5/2020 4:30:00 PM,21.91,-0.41%,424616
116,"AEM",20731.61,0.93%,5.50%,9.80%,7.90%,3.30,1.80,0.36,0.37,50.20%,32.40%,18.50%,7/29/2020 4:30:00 PM,84.12,-1.72%,1715677
117,"AEMD",18.97,,-69.80%,-79.40%,-67.80%,13.20,13.20,0.00,0.00,,,,8/11/2020 4:30:00 PM,1.48,-5.13%,207130
118,"AEO",2443.47,0.91%,-5.30%,-16.50%,14.40%,1.90,1.40,0.52,0.52,29.00%,-7.00%,-4.90%,9/9/2020 8:30:00 AM,14.89,-3.28%,8585980
119,"AEP",39603.22,3.48%,2.50%,9.60%,5.30%,0.40,0.30,1.33,1.59,79.90%,18.00%,12.50%,8/6/2020 8:30:00 AM,80.03,-0.53%,1084501
120,"AER",3733.72,,2.50%,11.80%,5.90%,,,3.18,0.00,94.10%,50.10%,23.30%,7/29/2020 8:30:00 AM,28.37,-1.12%,792024
121,"AERI",562.99,,-46.70%,-136.10%,-52.70%,3.70,3.50,2.22,2.22,79.00%,,,8/6/2020 4:30:00 PM,11.79,0.86%,565464
122,"AES",11715.34,3.16%,0.60%,6.90%,6.60%,1.10,1.00,7.85,8.68,23.80%,20.70%,2.00%,8/6/2020 8:30:00 AM,18.43,2.05%,5778995
123,"AESE",40.02,,-41.80%,-66.50%,-26.80%,0.90,0.90,0.10,0.23,62.40%,-94.40%,,,1.55,7.64%,1400916
124,"AESR",,,,,,,,,,,,,,10.75,-1.38%,5501
125,"AEY",25.14,,-48.80%,-82.60%,-13.40%,1.70,1.30,0.19,0.55,16.30%,-34.30%,-32.10%,8/11/2020 4:30:00 PM,2.07,-2.36%,61305
126,"AEYE",124.04,,-73.30%,-647.50%,-434.30%,0.80,0.80,,,66.90%,-38.30%,-42.40%,8/13/2020 4:30:00 PM,14.97,11.63%,301258
127,"AEZS",23.19,,-20.30%,786.70%,628.40%,3.60,3.40,0.11,0.22,18.90%,,,8/6/2020 8:30:00 AM,0.37,-1.30%,2331767
128,"AFB",397.83,4.62%,,,,,,,,,,,,13.86,0.14%,41032
129,"AFG",5956.60,2.94%,0.30%,3.90%,12.10%,,,0.31,0.31,,4.50%,3.10%,8/4/2020 4:30:00 PM,66.91,-1.59%,591700
130,"AFI",88.90,,-14.60%,-28.10%,-20.20%,1.80,0.80,0.25,0.27,12.70%,-11.50%,-12.90%,7/22/2020 8:30:00 AM,4.40,8.64%,978278
131,"AFIB",932.95,,,,42.60%,2.60,2.10,,,,,,9/17/2020 4:30:00 PM,34.51,-2.68%,313346
132,"AFIF",,1.73%,,,,,,,,,,,,9.81,-0.03%,6155
133,"AFIN",764.93,12.25%,-1.10%,-2.30%,1.60%,,,1.12,0.00,73.60%,14.60%,-13.00%,8/5/2020 4:30:00 PM,6.86,-1.15%,458769
134,"AFK",,7.60%,,,,,,,,,,,,18.09,-1.15%,2058
135,"AFL",26396.40,3.01%,1.90%,10.30%,10.00%,,,0.26,0.26,,18.90%,13.50%,7/28/2020 4:30:00 PM,37.63,1.13%,3087701
136,"AFLG",,,,,,,,,,,,,,20.13,-0.89%,1
137,"AFMD",324.47,,-44.80%,-134.00%,-77.40%,2.90,2.90,0.01,0.05,,,,8/11/2020 8:30:00 AM,3.70,4.23%,754534
138,"AFT",201.67,6.10%,,,,,,,,,,,,12.95,0.00%,42239
139,"AFTY",,4.38%,,,,,,,,,,,,19.56,-0.39%,1881
140,"AFYA",2438.23,,8.10%,11.70%,7.90%,2.90,2.90,0.17,0.20,62.20%,29.00%,27.70%,8/27/2020 4:30:00 PM,24.46,-3.81%,168000
141,"AG",2616.02,,,,,,,,,,,,8/6/2020 8:30:00 AM,12.16,-0.33%,3985075
142,"AGCO",5679.84,0.84%,0.70%,1.90%,3.50%,1.50,0.70,0.62,0.66,21.60%,3.00%,0.60%,7/30/2020 8:30:00 AM,76.22,-0.05%,483216
143,"AGD",121.73,8.04%,,,,,,,,,,,,9.61,-0.93%,50523
144,"AGE",34.89,,-185.40%,,-343.40%,0.40,0.40,,,89.50%,,,,0.92,3.74%,71477
145,"AGEN",974.99,,-96.50%,80.00%,,0.70,,,,99.30%,,,8/6/2020 8:30:00 AM,5.19,1.57%,4445334
146,"AGFS",144.39,,-5.70%,-14.50%,-3.10%,2.50,2.00,1.33,1.35,74.00%,-19.70%,-28.30%,8/10/2020 4:30:00 PM,3.03,11.81%,478834
147,"AGG",,2.46%,,,,,,,,,,,,118.36,0.03%,4830235
148,"AGGP",,2.57%,,,,,,,,,,,,19.85,-0.04%,20941
149,"AGGY",,2.83%,,,,,,,,,,,,54.05,-0.02%,110254
150,"AGI",3847.77,0.61%,,,,,,,,,,,7/29/2020 4:30:00 PM,9.65,-1.83%,2374802
151,"AGIO",2750.23,,-40.30%,-59.70%,,13.20,13.00,0.00,0.00,99.00%,,,7/30/2020 8:30:00 AM,38.67,0.72%,267782
152,"AGLE",338.17,,-79.10%,-99.40%,,10.20,10.20,0.00,0.00,,,,8/10/2020 8:30:00 AM,7.77,1.30%,87655
153,"AGM",720.64,4.75%,0.40%,16.30%,0.50%,,,23.16,44.15,31.90%,21.70%,14.00%,8/10/2020 4:30:00 PM,65.98,-2.03%,47691
154,"AGMH",322.30,,-5.00%,-19.90%,-11.30%,2.70,2.70,0.00,0.00,65.80%,,,,15.24,3.58%,6886
155,"AGNC",8173.56,9.86%,-0.90%,-10.00%,,,,0.02,7.89,-87.30%,,,7/27/2020 4:30:00 PM,14.60,-0.07%,4608006
156,"AGO",1606.89,4.10%,2.40%,5.10%,6.20%,,,0.19,0.19,,50.10%,35.30%,8/6/2020 4:30:00 PM,19.73,1.08%,644517
157,"AGQ",,,,,,,,,,,,,,58.31,0.22%,1089497
158,"AGR",15532.81,3.51%,2.00%,4.60%,3.70%,0.50,0.50,0.47,0.54,77.30%,14.90%,11.20%,7/21/2020 4:30:00 PM,49.43,-1.30%,377435
159,"AGRO",593.75,,-3.70%,-9.70%,4.60%,1.50,0.90,1.06,1.41,23.50%,16.50%,-10.40%,,5.03,0.60%,96802
160,"AGRX",321.75,,-39.50%,-46.80%,,13.70,13.70,0.20,0.00,,,,8/11/2020 4:30:00 PM,3.69,-2.38%,1111348
161,"AGS",160.27,,-8.00%,-54.90%,4.40%,4.50,3.70,8.80,8.90,68.90%,-10.30%,-26.80%,8/5/2020 4:30:00 PM,4.22,-3.21%,169975
162,"AGT",,0.72%,,,,,,,,,,,,20.36,-1.70%,611
163,"AGTC",144.39,,-21.10%,-26.40%,-5.60%,6.50,6.50,0.00,0.00,,,,9/9/2020 8:30:00 AM,5.08,0.20%,108517
164,"AGX",757.43,2.12%,-1.80%,-2.70%,-14.40%,2.20,2.20,0.00,0.00,7.30%,-6.40%,-3.70%,6/9/2020 4:30:00 PM,45.99,-2.73%,66119
165,"AGYS",627.95,,-20.50%,-40.40%,-47.70%,2.10,2.00,0.00,0.00,52.20%,-21.60%,-22.40%,7/28/2020 4:30:00 PM,26.15,-0.30%,143516
166,"AGZ",,1.92%,,,,,,,,,,,,121.16,-0.04%,69746
167,"AGZD",,2.66%,,,,,,,,,,,,47.00,-0.10%,10030
168,"AHC",29.93,11.03%,-7.30%,-18.60%,8.90%,2.90,2.80,0.00,0.00,91.90%,-11.20%,-6.10%,7/28/2020 8:30:00 AM,1.48,2.08%,23399
169,"AHCO",2006.14,,,,6.60%,1.00,0.90,52.14,55.06,49.70%,,,8/4/2020 8:30:00 AM,22.88,-0.65%,331115
170,"AHH",820.47,4.27%,1.50%,7.80%,3.30%,,,2.83,2.83,34.90%,15.20%,7.80%,8/4/2020 8:30:00 AM,10.06,-2.42%,131810
171,"AHPI",24.04,,-19.00%,-27.90%,-17.30%,1.80,0.80,0.00,0.00,18.00%,-9.10%,-9.50%,,5.58,-8.07%,227738
172,"AHT",24.57,,-8.50%,-212.40%,2.50%,,,,,22.00%,-15.40%,-37.10%,7/30/2020 4:30:00 PM,1.99,-3.86%,395060
173,"AI",102.77,,-2.40%,-28.10%,0.30%,,,0.37,2.47,,,,7/30/2020 8:30:00 AM,2.77,0.00%,151753
174,"AIA",,1.99%,,,,,,,,,,,,72.80,-1.01%,191853
175,"AIEQ",,0.63%,,,,,,,,,,,,29.81,-1.49%,8938
176,"AIF",188.03,,,,,,,,,,,,,12.82,-1.38%,89061
177,"AIG",25428.05,4.30%,-0.90%,-7.30%,5.50%,,,0.64,0.00,,-6.90%,-9.50%,8/3/2020 4:30:00 PM,28.71,-3.56%,7798331
178,"AIH",101.97,,,,-3.60%,1.00,0.90,0.33,0.63,74.90%,,,6/26/2020 8:30:00 AM,4.33,0.00%,41460
179,"AIHS",21.05,,,,-58.60%,0.50,0.40,4.38,10.50,24.70%,,,,0.45,-2.15%,212368
180,"AIIQ",,1.25%,,,,,,,,,,,,28.06,-0.07%,474
181,"AIKI",22.86,,-69.70%,-72.80%,,30.20,30.20,0.00,0.00,,,,,0.58,0.24%,1241193
182,"AIM",81.24,,-33.40%,-42.70%,-63.20%,42.20,42.20,0.04,0.05,,,,,2.06,4.57%,1317978
183,"AIMC",2713.84,0.39%,-0.80%,-1.70%,5.80%,2.30,1.60,0.85,0.86,35.50%,3.20%,-1.90%,7/24/2020 8:30:00 AM,40.51,-1.79%,304625
184,"AIMT",2244.58,,-92.70%,-170.90%,,7.50,7.40,0.73,0.73,,,,7/30/2020 4:30:00 PM,34.29,-0.04%,1224787
185,"AIN",1699.49,1.42%,7.60%,16.20%,12.90%,3.70,3.00,0.62,0.62,39.70%,19.30%,11.20%,7/29/2020 4:30:00 PM,53.82,0.67%,119979
186,"AINC",19.73,,-37.40%,467.60%,-10.60%,0.70,0.70,,,27.80%,-59.60%,-66.20%,,7.72,-2.11%,8185
187,"AINV",621.81,13.16%,-4.70%,-12.20%,5.00%,,,1.76,1.76,57.50%,50.40%,-51.30%,8/6/2020 4:30:00 PM,9.39,-0.32%,512052
188,"AIO",728.68,6.12%,,,,,,,,,,,,20.89,-1.60%,55964
189,"AIQ",,0.56%,,,,,,,,,,,,22.91,-1.18%,18270
190,"AIR",677.29,1.54%,0.20%,0.50%,2.40%,3.80,2.10,0.66,0.66,13.00%,2.00%,0.20%,9/24/2020 4:30:00 PM,19.95,2.62%,217428
191,"AIRG",126.39,,-3.80%,-4.20%,0.50%,9.40,9.20,0.00,0.00,46.20%,-4.80%,-4.10%,8/6/2020 4:30:00 PM,13.29,0.00%,46316
192,"AIRI",34.01,,-3.00%,-14.00%,0.60%,1.30,0.30,0.38,2.27,15.20%,-2.60%,-3.20%,,1.08,-2.70%,31405
193,"AIRR",,0.23%,,,,,,,,,,,,26.47,0.11%,11031
194,"AIRT",31.06,,3.30%,20.90%,9.20%,1.70,0.70,2.29,3.87,21.20%,2.00%,2.20%,,10.55,-0.47%,1217
195,"AIT",2248.28,2.20%,1.00%,2.70%,3.20%,2.70,1.80,1.01,1.11,29.00%,2.70%,0.70%,8/12/2020 8:30:00 AM,57.84,-0.46%,125193
196,"AIV",5632.77,4.41%,2.60%,10.50%,2.50%,,,2.68,2.88,66.10%,15.80%,20.10%,8/3/2020 4:30:00 PM,36.38,-2.15%,1444759
