Symbol,Date,Open,High,Low,Close,Volume
A,2023-06-09,115.6,116.0,114.2,115.8,1981287
AA,2023-06-09,35.6,35.8,34.8,35.2,3071100
AAC,2023-06-09,10.5,10.5,10.5,10.5,18300
AAIC,2023-06-09,4.3,4.3,4.3,4.3,195200
AAIN,2023-06-09,23.9,23.9,23.6,23.6,1500
AAN,2023-06-09,14.4,14.4,13.9,14.0,240048
AAP,2023-06-09,64.7,64.9,63.6,63.6,3306495
AAT,2023-06-09,19.7,20.0,19.5,19.8,284804
AB,2023-06-09,34.6,34.8,34.2,34.3,121400
ABBV,2023-06-09,137.6,139.2,137.1,138.2,4359676
ABC,2023-06-09,176.6,178.3,176.0,178.2,793800
ABEV,2023-06-09,3.0,3.1,3.0,3.1,15043300
ABG,2023-06-09,232.5,232.5,224.8,226.3,121400
ABM,2023-06-09,47.1,47.1,46.0,46.4,367695
ABR,2023-06-09,14.1,14.2,13.9,14.1,1687900
ABT,2023-06-09,101.0,102.0,100.5,101.7,4274013
AC,2023-06-09,36.3,36.3,35.6,35.6,6976
ACA,2023-06-09,73.5,73.5,72.4,73.2,163631
ACCO,2023-06-09,5.2,5.2,5.1,5.1,278900
ACEL,2023-06-09,10.0,10.0,9.8,9.8,137100
ACHR,2023-06-09,3.2,3.5,3.2,3.2,7536200
ACI,2023-06-09,20.8,20.9,20.8,20.8,1750195
ACM,2023-06-09,83.0,83.6,82.7,83.6,681597
ACN,2023-06-09,309.1,311.2,306.6,308.7,2202648
ACP,2023-06-09,6.9,6.9,6.8,6.8,193100
ACR,2023-06-09,8.5,8.5,8.4,8.4,9600
ACRE,2023-06-09,10.0,10.0,9.9,10.0,344627
ACV,2023-06-09,19.6,19.6,19.5,19.6,25100
ADC,2023-06-09,65.8,65.8,65.3,65.4,422172
ADCT,2023-06-09,2.5,2.6,2.4,2.5,524500
ADM,2023-06-09,72.2,73.2,71.8,72.5,2281200
ADNT,2023-06-09,37.6,38.0,37.1,37.6,679300
ADT,2023-06-09,6.2,6.2,6.0,6.1,2241100
ADX,2023-06-09,16.2,16.3,16.1,16.2,124700
AEE,2023-06-09,83.9,83.9,83.3,83.4,1093642
AEFC,2023-06-09,22.0,22.1,21.9,21.9,14900
AEG,2023-06-09,4.8,4.9,4.8,4.8,698900
AEL,2023-06-09,42.6,42.8,42.3,42.5,374100
AEM,2023-06-09,51.3,51.5,50.7,51.0,1884700
AENZ,2023-06-09,2.0,2.0,2.0,2.0,300
AEO,2023-06-09,11.9,12.0,11.8,11.9,4354697
AER,2023-06-09,59.7,60.2,59.1,59.6,870200
