Symbol,Date,Open,High,Low,Close,Volume
A,2023-06-23,117.8,119.7,117.6,119.4,2632628
AA,2023-06-23,32.7,33.3,32.5,32.8,5471400
AAC,2023-06-23,10.5,10.5,10.5,10.5,1056500
AACT,2023-06-23,10.1,10.1,10.1,10.1,395100
AAIC,2023-06-23,4.4,4.4,4.3,4.3,106000
AAIN,2023-06-23,23.4,23.4,23.4,23.4,200
AAN,2023-06-23,12.8,12.9,12.6,12.6,330800
AAP,2023-06-23,67.7,67.7,65.7,65.7,3299365
AAT,2023-06-23,18.2,18.5,17.8,18.1,1115000
AB,2023-06-23,32.0,32.2,31.5,31.8,378500
ABBV,2023-06-23,137.3,138.7,135.7,135.9,7395593
ABC,2023-06-23,188.2,188.8,186.9,187.7,2244500
ABEV,2023-06-23,3.2,3.2,3.2,3.2,10130500
ABG,2023-06-23,227.6,232.0,226.4,228.4,362800
ABM,2023-06-23,40.7,41.2,40.4,40.5,925807
ABR,2023-06-23,13.9,14.0,13.6,13.6,7507400
ABT,2023-06-23,108.2,108.5,107.4,108.1,5647159
AC,2023-06-23,34.6,35.3,34.5,35.0,341500
ACA,2023-06-23,73.1,73.8,71.0,71.6,991428
ACCO,2023-06-23,5.1,5.1,4.9,5.0,1209600
ACEL,2023-06-23,10.2,10.4,10.2,10.3,731600
ACHR,2023-06-23,3.4,3.4,3.3,3.4,5064400
ACI,2023-06-23,21.5,21.6,21.3,21.5,13584515
ACM,2023-06-23,84.8,85.9,84.4,85.0,1233949
ACN,2023-06-23,300.0,302.7,297.7,298.4,4233954
ACP,2023-06-23,6.8,6.9,6.8,6.8,292900
ACR,2023-06-23,8.3,8.4,8.2,8.2,9900
ACRE,2023-06-23,10.0,10.1,9.9,10.0,961032
ACV,2023-06-23,19.4,19.4,19.2,19.2,28200
ADC,2023-06-23,65.2,65.6,64.7,65.0,11966868
ADCT,2023-06-23,2.1,2.2,2.0,2.0,383200
ADM,2023-06-23,72.8,73.2,72.5,72.9,3636700
ADNT,2023-06-23,36.1,36.4,35.7,36.1,1436900
ADT,2023-06-23,5.8,5.9,5.8,5.9,4199800
ADX,2023-06-23,16.4,16.5,16.4,16.4,140800
AEE,2023-06-23,82.5,82.9,80.6,80.8,1845000
AEFC,2023-06-23,21.3,21.6,21.3,21.3,14600
AEG,2023-06-23,4.8,4.9,4.8,4.9,980300
AEL,2023-06-23,41.6,42.0,40.6,40.7,1473500
AEM,2023-06-23,49.5,49.7,48.8,49.1,1734200
AENZ,2023-06-23,2.0,2.0,2.0,2.0,200
AEO,2023-06-23,11.6,11.7,11.5,11.5,8079511
AER,2023-06-23,60.7,61.0,60.0,60.6,765100
AES,2023-06-23,20.8,20.8,20.4,20.4,13059451
AESC,2023-06-23,81.2,81.2,80.4,80.5,29100
AESI,2023-06-23,16.8,16.8,16.0,16.2,2541200
AEVA,2023-06-23,1.1,1.2,1.1,1.2,2774600
AFB,2023-06-23,10.5,10.6,10.5,10.6,85900
AFG,2023-06-23,116.3,117.2,115.8,116.0,722586
AFGB,2023-06-23,23.7,23.9,23.2,23.9,3800
AFGC,2023-06-23,20.9,21.0,20.9,20.9,4000
AFGD,2023-06-23,24.1,24.1,23.3,23.5,4300
AFGE,2023-06-23,17.9,17.9,17.8,17.9,3100
AFL,2023-06-23,67.2,67.7,66.9,67.1,2967700
AFT,2023-06-23,12.6,12.6,12.6,12.6,32000
AFTR,2023-06-23,10.4,10.4,10.4,10.4,1800
AG,2023-06-23,5.4,5.5,5.3,5.3,3152400
AGAC,2023-06-23,10.5,10.5,10.5,10.5,3500
AGCO,2023-06-23,132.0,132.2,128.9,129.8,939800
AGD,2023-06-23,9.4,9.5,9.4,9.4,31300
AGI,2023-06-23,11.8,11.9,11.7,11.7,1942500
AGL,2023-06-23,16.7,17.1,16.6,17.1,5013300
AGM,2023-06-23,141.7,143.7,139.6,141.0,242700
AGO,2023-06-23,53.8,54.0,53.3,53.3,363200
AGR,2023-06-23,38.1,38.2,37.2,37.2,696800
AGRO,2023-06-23,9.8,9.9,9.7,9.8,411500
AGS,2023-06-23,5.4,5.5,5.3,5.4,5740700
AGTI,2023-06-23,16.0,16.2,15.9,16.0,488200
AGX,2023-06-23,39.9,40.0,38.3,38.7,296166
AHH,2023-06-23,11.6,11.6,11.4,11.5,563275
AHT,2023-06-23,3.6,3.8,3.5,3.5,4804900
AI,2023-06-23,36.1,36.4,32.6,33.4,32012700
AIC,2023-06-23,24.4,24.4,24.3,24.4,700
AIF,2023-06-23,12.4,12.5,12.3,12.4,53700
AIG,2023-06-23,55.0,55.5,54.8,55.2,5255500
AIN,2023-06-23,88.7,89.8,88.5,89.5,973200
AIO,2023-06-23,17.9,18.1,17.9,18.1,153003
AIR,2023-06-23,55.8,56.3,55.0,55.1,375300
AIRC,2023-06-23,34.4,34.5,33.5,33.6,1853300
AIT,2023-06-23,136.7,138.8,136.7,137.0,378000
AIU,2023-06-23,1.1,1.1,1.0,1.0,8800
AIV,2023-06-23,7.9,8.1,7.8,8.0,2545100
AIZ,2023-06-23,128.5,129.5,123.2,123.8,762900
AIZN,2023-06-23,19.1,19.4,18.8,18.8,14100
AJG,2023-06-23,212.7,213.7,211.6,212.5,1690200
AJX,2023-06-23,5.7,5.8,5.6,5.6,73200
AJXA,2023-06-23,24.4,24.6,24.4,24.6,1900
AKA,2023-06-23,0.4,0.5,0.4,0.4,1398900
AKR,2023-06-23,13.6,13.7,13.4,13.5,911979
AL,2023-06-23,40.4,40.5,39.8,40.2,758800
ALB,2023-06-23,221.7,222.0,218.2,220.2,3467300
ALC,2023-06-23,80.6,81.0,80.4,80.5,559700
ALCC,2023-06-23,10.6,10.6,10.6,10.6,151900
ALE,2023-06-23,59.0,60.0,58.1,58.2,592200
ALEX,2023-06-23,17.8,18.0,17.6,17.7,493700
ALG,2023-06-23,181.5,183.5,180.4,181.4,125477
ALIT,2023-06-23,8.8,8.9,8.8,8.8,3413000
ALK,2023-06-23,48.8,49.9,48.6,49.2,2410000
ALL,2023-06-23,107.5,107.8,106.6,107.5,3587800
ALLE,2023-06-23,115.6,116.6,114.7,115.5,1110500
ALLG,2023-06-23,2.6,2.6,2.5,2.5,55000
ALLY,2023-06-23,26.5,26.7,26.2,26.4,7048786
ALSN,2023-06-23,53.6,54.0,53.1,53.9,2558100
ALTG,2023-06-23,15.6,16.4,15.6,16.3,1115400
ALV,2023-06-23,82.7,83.2,82.2,82.6,839000
ALX,2023-06-23,179.8,184.0,174.0,177.5,49200
AM,2023-06-23,10.8,10.8,10.7,10.7,5154365
AMBC,2023-06-23,13.7,13.8,13.5,13.6,685900
AMBP,2023-06-23,3.4,3.4,3.3,3.3,3494500
AMC,2023-06-23,4.1,4.2,4.0,4.0,14395500
AMCR,2023-06-23,10.0,10.0,9.9,9.9,8555300
AME,2023-06-23,154.8,157.1,154.4,156.1,1112400
AMG,2023-06-23,142.8,143.8,141.8,142.9,345600
AMH,2023-06-23,34.6,34.6,33.7,33.7,3556700
AMK,2023-06-23,27.9,28.1,27.7,27.9,1003500
AMN,2023-06-23,103.0,105.1,102.7,103.9,870500
AMP,2023-06-23,316.6,319.6,315.6,317.0,1510800
AMPS,2023-06-23,5.1,5.2,5.0,5.2,6293000
AMPX,2023-06-23,8.3,8.4,8.0,8.1,954000
AMPY,2023-06-23,6.4,6.5,6.3,6.5,1731000
AMR,2023-06-23,163.0,166.9,161.8,165.0,898200
AMRC,2023-06-23,45.5,47.8,45.2,47.1,645200
AMRX,2023-06-23,2.8,2.9,2.8,2.9,7158600
AMT,2023-06-23,186.0,189.2,185.2,186.0,4173300
AMWL,2023-06-23,2.1,2.2,2.1,2.1,3375800
AMX,2023-06-23,21.5,21.7,21.4,21.5,1038200
AN,2023-06-23,152.8,157.5,152.3,154.6,1135800
ANET,2023-06-23,150.8,150.9,148.3,148.8,8418900
ANF,2023-06-23,37.0,37.5,36.6,36.9,2624200
ANVS,2023-06-23,14.5,14.7,14.3,14.5,12300
AOD,2023-06-23,8.1,8.1,8.1,8.1,237500
AOMR,2023-06-23,7.4,7.8,7.4,7.7,214500
AON,2023-06-23,333.5,334.7,330.2,331.4,3128197
AORT,2023-06-23,16.1,16.5,15.8,15.8,1360200
AOS,2023-06-23,68.6,69.6,68.2,69.5,1112658
AP,2023-06-23,3.0,3.0,2.9,2.9,8200
APAM,2023-06-23,36.8,37.3,36.1,36.2,1393600
APCA,2023-06-23,10.8,10.8,10.8,10.8,0
APD,2023-06-23,286.6,288.1,284.7,286.3,712526
APE,2023-06-23,1.8,1.9,1.8,1.8,13224700
APG,2023-06-23,25.2,25.8,25.2,25.4,6577300
APGB,2023-06-23,10.3,10.3,10.3,10.3,19800
APH,2023-06-23,80.2,81.1,79.8,80.2,4991100
APLE,2023-06-23,14.5,14.6,14.3,14.4,1903139
