Symbol,Date,Open,High,Low,Close,Volume
AACG,2023-04-11,1.9,2.0,1.9,2.0,8700
AACI,2023-04-11,10.1,10.1,10.1,10.1,9100
AACIU,2023-04-11,10.0,10.0,10.0,10.0,0
AACIW,2023-04-11,0.1,0.1,0.1,0.1,2700
AADI,2023-04-11,7.2,7.7,7.2,7.7,123300
AADR,2023-04-11,48.2,48.2,48.1,48.2,1700
AAL,2023-04-11,14.2,14.5,14.1,14.3,17518200
AAME,2023-04-11,2.4,2.5,2.4,2.4,800
AAOI,2023-04-11,2.2,2.3,2.2,2.3,69000
AAON,2023-04-11,94.8,95.3,93.9,94.7,308951
AAPB,2023-04-11,21.7,21.9,21.6,21.7,3300
AAPD,2023-04-11,24.1,24.3,24.1,24.3,375000
AAPL,2023-04-11,162.4,162.4,160.5,160.8,46305048
AAPU,2023-04-11,22.7,22.7,22.4,22.4,102500
AAXJ,2023-04-11,68.2,68.4,68.1,68.1,309000
ABCB,2023-04-11,34.8,35.1,34.2,34.3,472982
ABCL,2023-04-11,7.2,7.4,7.1,7.3,1963200
ABCM,2023-04-11,13.0,13.3,12.9,13.1,525000
ABEO,2023-04-11,2.9,3.0,2.8,2.9,73900
ABIO,2023-04-11,2.0,2.0,2.0,2.0,25600
ABL,2023-04-11,10.3,10.3,10.3,10.3,6800
ABNB,2023-04-11,113.6,114.8,112.6,114.2,4845400
ABOS,2023-04-11,3.8,3.8,3.8,3.8,135300
ABSI,2023-04-11,1.8,1.9,1.8,1.8,248200
ABUS,2023-04-11,2.9,3.0,2.9,2.9,2135300
ABVC,2023-04-11,6.6,6.7,6.2,6.3,5574
ACAB,2023-04-11,10.1,10.5,9.8,10.4,50800
ACABU,2023-04-11,9.9,9.9,9.9,9.9,0
ACABW,2023-04-11,0.1,0.1,0.0,0.0,7635
ACACU,2023-04-11,11.0,11.0,11.0,11.0,327
ACAD,2023-04-11,17.8,18.2,17.8,18.1,1691300
ACAH,2023-04-11,10.1,10.1,10.1,10.1,1600
ACAX,2023-04-11,10.3,10.3,10.3,10.3,324300
ACAXU,2023-04-11,10.4,10.4,10.4,10.4,0
ACB,2023-04-11,0.7,0.7,0.6,0.7,2121500
ACBA,2023-04-11,10.9,10.9,10.9,10.9,0
ACBAU,2023-04-11,10.9,10.9,10.9,10.9,0
ACCD,2023-04-11,13.6,14.4,13.6,14.1,443300
ACDC,2023-04-11,13.5,13.5,12.9,13.0,572400
ACDCW,2023-04-11,0.0,0.0,0.0,0.0,12289
ACER,2023-04-11,1.0,1.0,0.9,1.0,290300
ACET,2023-04-11,5.6,5.7,5.5,5.6,287600
ACGL,2023-04-11,68.8,69.2,68.4,69.0,1292200
ACGLN,2023-04-11,19.2,19.3,19.1,19.2,71100
ACGLO,2023-04-11,23.0,23.2,23.0,23.2,17200
ACGN,2023-04-11,2.5,2.6,2.4,2.6,12500
ACHC,2023-04-11,73.1,74.6,72.6,74.4,509100
ACHL,2023-04-11,0.9,1.0,0.9,0.9,181100
ACHV,2023-04-11,7.1,7.1,6.8,6.8,66200
ACIU,2023-04-11,2.1,2.3,2.1,2.2,94700
ACIW,2023-04-11,26.1,26.5,26.1,26.4,278300
ACLS,2023-04-11,127.8,129.6,125.5,125.8,442100
ACLX,2023-04-11,27.8,29.2,27.8,28.8,417600
ACMR,2023-04-11,11.1,11.2,10.7,10.8,403200
