Symbol,Date,Open,High,Low,Close,Volume
AACG,2023-07-27,1.3,1.4,1.3,1.4,4600
AACI,2023-07-27,10.6,10.6,10.5,10.6,61400
AACIU,2023-07-27,10.5,10.5,10.5,10.5,0
AACIW,2023-07-27,0.1,0.1,0.1,0.1,0
AADI,2023-07-27,5.8,5.8,5.3,5.4,124600
AADR,2023-07-27,52.5,52.5,51.7,51.7,1800
AAL,2023-07-27,16.5,16.7,16.3,16.6,24395800
AAME,2023-07-27,1.9,1.9,1.9,1.9,4100
AAOI,2023-07-27,8.0,8.2,6.2,6.2,4212900
AAON,2023-07-27,101.5,102.0,98.4,100.0,272000
AAPB,2023-07-27,29.8,29.9,28.8,28.9,6100
AAPD,2023-07-27,19.9,20.3,19.8,20.2,135000
AAPL,2023-07-27,196.0,197.2,192.6,193.2,47460200
AAPU,2023-07-27,29.5,29.7,28.7,28.8,112600
AAXJ,2023-07-27,69.5,69.5,68.6,68.7,243100
ABCB,2023-07-27,42.1,42.3,40.6,41.6,697500
ABCL,2023-07-27,7.8,7.9,7.5,7.5,1101900
ABCM,2023-07-27,23.5,23.6,23.3,23.4,1803900
ABEO,2023-07-27,3.4,3.5,3.3,3.3,316700
ABIO,2023-07-27,2.0,2.0,2.0,2.0,7400
ABL,2023-07-27,6.0,6.2,6.0,6.2,5100
ABNB,2023-07-27,151.9,153.2,147.6,148.5,5426000
ABOS,2023-07-27,7.3,7.4,7.1,7.2,775900
ABSI,2023-07-27,2.1,2.1,2.0,2.0,387300
ABUS,2023-07-27,2.2,2.2,2.1,2.1,360600
ABVC,2023-07-27,4.1,4.4,2.9,3.1,1045500
ACAB,2023-07-27,10.4,10.4,10.4,10.4,0
ACABU,2023-07-27,10.4,10.4,10.4,10.4,0
ACACU,2023-07-27,11.0,11.0,11.0,11.0,0
ACAD,2023-07-27,29.5,29.5,28.8,29.0,1002000
ACAH,2023-07-27,10.4,10.4,10.4,10.4,0
ACAX,2023-07-27,9.8,10.3,9.3,9.5,21400
ACAXR,2023-07-27,0.3,0.4,0.3,0.4,0
ACAXU,2023-07-27,11.6,11.6,11.6,11.6,0
ACB,2023-07-27,0.5,0.5,0.5,0.5,7984200
ACBA,2023-07-27,11.3,11.3,11.3,11.3,0
ACBAU,2023-07-27,11.1,11.1,11.1,11.1,0
ACCD,2023-07-27,14.3,14.5,13.9,14.1,571200
ACDC,2023-07-27,12.7,12.9,12.3,12.4,487300
ACDCW,2023-07-27,0.0,0.0,0.0,0.0,0
ACER,2023-07-27,0.8,0.9,0.8,0.8,18100
ACET,2023-07-27,2.5,2.7,2.5,2.5,371200
ACGL,2023-07-27,84.8,84.8,79.6,79.7,3504200
ACGLN,2023-07-27,19.5,19.6,19.3,19.3,31200
ACGLO,2023-07-27,23.0,23.0,22.5,22.5,12100
ACGN,2023-07-27,0.8,1.0,0.8,0.9,232800
ACHC,2023-07-27,74.1,74.4,72.8,73.4,1037900
ACHL,2023-07-27,1.0,1.1,1.0,1.0,54600
ACHV,2023-07-27,5.7,5.8,5.3,5.4,63500
ACIU,2023-07-27,2.9,2.9,2.8,2.8,72700
ACIW,2023-07-27,23.6,23.7,22.6,22.8,668800
ACLS,2023-07-27,182.5,187.0,181.3,182.8,498400
ACLX,2023-07-27,34.0,34.0,32.7,33.1,441700
ACMR,2023-07-27,12.6,12.8,12.2,12.4,588500
ACNB,2023-07-27,34.6,34.6,32.3,33.0,25800
ACNT,2023-07-27,8.9,8.9,8.9,8.9,7600
ACON,2023-07-27,0.6,0.6,0.6,0.6,69300
ACONW,2023-07-27,0.1,0.1,0.1,0.1,0
ACOR,2023-07-27,14.7,15.2,14.5,14.5,12600
ACRS,2023-07-27,9.9,10.0,9.6,9.6,292000
ACRV,2023-07-27,12.5,12.6,12.0,12.3,8300
ACRX,2023-07-27,1.0,1.0,0.9,1.0,63000
