Symbol,Date,Open,High,Low,Close,Volume
AACG,2023-04-13,1.9,2.0,1.9,1.9,12700
AACI,2023-04-13,10.1,10.1,10.1,10.1,5000
AACIU,2023-04-13,10.0,10.0,10.0,10.0,0
AACIW,2023-04-13,0.1,0.1,0.1,0.1,2127
AADI,2023-04-13,7.5,8.3,7.4,8.1,134400
AADR,2023-04-13,48.4,48.9,48.4,48.9,1000
AAL,2023-04-13,13.1,13.2,12.8,12.9,47388900
AAME,2023-04-13,2.4,2.5,2.4,2.5,10500
AAOI,2023-04-13,2.3,2.3,2.2,2.2,100200
AAON,2023-04-13,96.5,97.5,95.5,97.1,335897
AAPB,2023-04-13,21.8,22.8,21.8,22.8,5100
AAPD,2023-04-13,24.2,24.2,23.5,23.6,303400
AAPL,2023-04-13,161.6,165.8,161.4,165.6,67159104
AAPU,2023-04-13,22.6,23.4,22.6,23.4,167200
AAXJ,2023-04-13,68.0,68.5,68.0,68.4,1211200
ABCB,2023-04-13,33.6,34.5,32.9,34.2,364011
ABCL,2023-04-13,7.3,7.6,7.3,7.6,1285800
ABCM,2023-04-13,13.6,13.8,13.4,13.5,842900
ABEO,2023-04-13,2.9,3.0,2.7,2.8,79100
ABIO,2023-04-13,2.0,2.0,2.0,2.0,11000
ABL,2023-04-13,10.3,10.3,10.3,10.3,5900
ABNB,2023-04-13,113.2,114.4,112.8,113.9,3878100
ABOS,2023-04-13,3.8,4.2,3.8,3.9,97300
ABSI,2023-04-13,1.8,1.9,1.8,1.9,285800
ABUS,2023-04-13,2.8,3.0,2.8,3.0,2366400
ABVC,2023-04-13,6.7,6.7,6.3,6.6,348
ACAB,2023-04-13,10.1,10.6,10.1,10.6,1052100
ACABU,2023-04-13,9.9,9.9,9.9,9.9,0
ACABW,2023-04-13,0.0,0.1,0.0,0.1,6819
ACACU,2023-04-13,11.2,11.2,11.2,11.2,0
ACACW,2023-04-13,0.1,0.1,0.1,0.1,0
ACAD,2023-04-13,18.5,18.9,18.3,18.5,1523700
ACAH,2023-04-13,10.1,10.1,10.1,10.1,0
ACAX,2023-04-13,10.3,10.3,10.3,10.3,0
ACAXU,2023-04-13,10.5,10.5,10.5,10.5,900
ACB,2023-04-13,0.6,0.7,0.6,0.7,2271500
ACBA,2023-04-13,10.9,10.9,10.9,10.9,0
ACBAU,2023-04-13,10.9,10.9,10.9,10.9,0
ACCD,2023-04-13,14.4,14.9,14.4,14.9,505300
ACDC,2023-04-13,12.9,13.1,12.7,12.9,378500
ACDCW,2023-04-13,0.0,0.0,0.0,0.0,5000
ACER,2023-04-13,1.0,1.2,1.0,1.1,470600
ACET,2023-04-13,5.3,6.0,5.3,5.8,1385000
ACGL,2023-04-13,69.8,70.7,69.4,70.5,2362900
ACGLN,2023-04-13,19.2,19.2,19.1,19.2,410900
ACGLO,2023-04-13,23.1,23.3,23.1,23.3,22000
ACGN,2023-04-13,2.5,2.6,2.4,2.6,3600
ACHC,2023-04-13,74.5,75.4,74.2,75.4,285800
ACHL,2023-04-13,0.9,0.9,0.9,0.9,114200
ACHV,2023-04-13,6.9,7.1,6.8,7.0,29400
ACIU,2023-04-13,2.2,2.3,2.2,2.3,71100
ACIW,2023-04-13,25.8,25.9,25.5,25.9,375300
ACLS,2023-04-13,125.4,127.9,124.0,127.1,403000
ACLX,2023-04-13,28.5,29.7,28.0,29.3,554500
ACMR,2023-04-13,10.6,10.7,10.2,10.3,300300
ACNB,2023-04-13,30.4,31.1,30.4,30.6,5685
ACNT,2023-04-13,9.4,9.5,9.3,9.5,11200
ACON,2023-04-13,0.7,0.8,0.7,0.8,7700
ACONW,2023-04-13,0.1,0.1,0.1,0.1,302
ACOR,2023-04-13,10.6,11.6,10.6,10.9,2057
ACRS,2023-04-13,8.9,9.3,8.8,9.1,557300
ACRV,2023-04-13,9.5,9.9,9.2,9.6,18400
ACRX,2023-04-13,0.7,0.8,0.7,0.7,183700
ACST,2023-04-13,2.7,2.9,2.6,2.9,5418
ACT,2023-04-13,24.4,24.5,24.1,24.3,126800
ACTG,2023-04-13,3.7,3.7,3.6,3.7,281900
ACVA,2023-04-13,12.2,12.4,12.1,12.3,748000
ACWI,2023-04-13,91.8,92.7,91.8,92.6,2465600
ACWX,2023-04-13,49.8,50.0,49.7,50.0,1085500
ACXP,2023-04-13,3.2,3.2,2.9,2.9,97900
ADAG,2023-04-13,1.4,1.5,1.4,1.4,11200
ADAP,2023-04-13,1.2,1.3,1.2,1.3,1256300
ADBE,2023-04-13,373.2,379.0,372.7,378.8,2434800
ADD,2023-04-13,2.0,2.1,2.0,2.1,25800
ADEA,2023-04-13,7.9,8.2,7.9,8.0,368700
ADERU,2023-04-13,10.4,10.5,10.2,10.4,2100
ADES,2023-04-13,2.0,2.0,2.0,2.0,39100
ADI,2023-04-13,187.3,190.1,186.2,189.1,1970947
ADIL,2023-04-13,0.3,0.3,0.3,0.3,110400
ADMA,2023-04-13,3.1,3.2,3.1,3.2,3944700
ADMP,2023-04-13,6.4,6.8,5.9,6.7,32921
ADN,2023-04-13,1.0,1.0,0.9,1.0,649000
ADNWW,2023-04-13,0.1,0.1,0.1,0.1,64869
ADOC,2023-04-13,10.8,10.8,10.8,10.8,0
ADP,2023-04-13,215.9,217.6,214.5,217.2,1293822
ADPT,2023-04-13,8.2,8.6,8.1,8.5,787000
ADSE,2023-04-13,2.5,2.5,2.3,2.4,8600
ADSEW,2023-04-13,0.2,0.2,0.2,0.2,27835
ADSK,2023-04-13,194.9,196.9,194.1,196.3,1685500
ADTH,2023-04-13,1.6,1.6,1.5,1.6,182900
ADTN,2023-04-13,10.6,11.0,10.4,10.7,1708882
ADTX,2023-04-13,0.9,0.9,0.8,0.8,24700
ADUS,2023-04-13,112.4,112.9,110.3,111.8,134600
ADV,2023-04-13,1.4,1.4,1.4,1.4,580200
ADVM,2023-04-13,0.7,0.8,0.7,0.8,740000
ADXN,2023-04-13,0.8,0.8,0.8,0.8,104400
AEAE,2023-04-13,10.4,10.4,10.4,10.4,300
AEAEU,2023-04-13,10.5,10.5,10.5,10.5,0
AEAEW,2023-04-13,0.1,0.1,0.1,0.1,1200
AEHL,2023-04-13,1.0,1.0,1.0,1.0,14300
AEHR,2023-04-13,28.5,30.5,28.1,29.8,1024200
AEI,2023-04-13,1.4,1.4,1.4,1.4,30300
AEIS,2023-04-13,92.4,92.4,90.7,91.8,76185
AEMD,2023-04-13,0.4,0.4,0.4,0.4,49900
AENT,2023-04-13,3.2,3.2,3.2,3.2,200
AEP,2023-04-13,93.9,94.2,92.1,94.0,2036813
AEPPZ,2023-04-13,50.0,51.2,50.0,51.0,59900
AEY,2023-04-13,1.1,1.1,1.1,1.1,27000
AEYE,2023-04-13,7.0,7.1,6.9,6.9,28000
AEZS,2023-04-13,2.7,2.7,2.6,2.6,2300
AFAR,2023-04-13,10.5,10.5,10.5,10.5,0
AFARU,2023-04-13,10.5,10.5,10.5,10.5,100
AFARW,2023-04-13,0.0,0.0,0.0,0.0,0
AFBI,2023-04-13,14.7,15.4,14.7,14.9,1700
AFCG,2023-04-13,11.4,11.7,11.3,11.7,98961
AFIB,2023-04-13,0.7,0.7,0.7,0.7,108500
AFMD,2023-04-13,0.7,0.8,0.7,0.7,796400
AFRI,2023-04-13,11.2,11.4,11.2,11.4,1000
AFRM,2023-04-13,11.1,11.6,11.0,11.4,11221900
AFYA,2023-04-13,12.9,13.2,12.8,13.2,364600
AGAE,2023-04-13,1.1,1.2,1.1,1.1,20100
AGBA,2023-04-13,1.6,1.6,1.5,1.5,16900
AGEN,2023-04-13,1.3,1.5,1.3,1.5,7184100
AGFY,2023-04-13,4.8,4.9,4.2,4.4,114934
AGIL,2023-04-13,2.7,2.7,2.2,2.2,118800
AGIO,2023-04-13,21.4,22.6,21.4,22.5,380700
AGLE,2023-04-13,0.2,0.2,0.2,0.2,1351400
AGMH,2023-04-13,2.2,2.2,2.1,2.1,3800
AGNC,2023-04-13,10.1,10.1,9.9,10.1,7561444
AGNCL,2023-04-13,21.0,21.0,20.6,21.0,58600
AGNCM,2023-04-13,20.6,21.2,20.6,21.1,16200
AGNCN,2023-04-13,24.3,24.4,24.2,24.3,26200
AGNCO,2023-04-13,20.9,21.1,20.8,21.1,8000
AGNCP,2023-04-13,19.5,19.8,19.4,19.8,31500
AGNG,2023-04-13,28.1,28.1,28.1,28.1,100
AGRI,2023-04-13,0.7,0.7,0.6,0.6,141400
AGRX,2023-04-13,8.6,8.7,8.2,8.2,45200
AGYS,2023-04-13,82.1,83.7,82.1,83.2,81900
AGZD,2023-04-13,43.5,43.6,43.4,43.5,18400
AHCO,2023-04-13,12.1,12.3,12.0,12.2,962300
AHG,2023-04-13,0.3,0.3,0.3,0.3,22400
AHI,2023-04-13,1.6,1.6,1.5,1.6,2040
AIA,2023-04-13,61.0,61.4,60.9,61.3,62800
AIB,2023-04-13,10.5,10.5,10.5,10.5,0
AIH,2023-04-13,1.2,1.2,1.1,1.1,5500
AIHS,2023-04-13,0.9,0.9,0.9,0.9,6200
AIMAU,2023-04-13,10.2,10.2,10.2,10.2,0
AIMBU,2023-04-13,10.4,10.4,10.4,10.4,205
AIMD,2023-04-13,0.9,0.9,0.8,0.8,17500
AIMDW,2023-04-13,0.2,0.3,0.2,0.3,2772
AIP,2023-04-13,4.1,4.1,4.0,4.1,76500
AIQ,2023-04-13,23.9,24.3,23.8,24.2,43200
AIRG,2023-04-13,5.7,6.0,5.7,5.7,12500
AIRR,2023-04-13,46.2,46.2,45.7,46.1,32200
