Symbol,Date,Open,High,Low,Close,Volume
AACG,2023-04-04,1.9,1.9,1.9,1.9,7000
AACI,2023-04-04,10.1,10.1,10.1,10.1,0
AACIU,2023-04-04,10.0,10.0,10.0,10.0,0
AACIW,2023-04-04,0.1,0.1,0.1,0.1,900
AADI,2023-04-04,7.6,7.6,7.2,7.3,153400
AADR,2023-04-04,47.9,48.0,47.9,48.0,1800
AAL,2023-04-04,14.6,14.6,14.0,14.2,16124100
AAME,2023-04-04,2.5,2.5,2.4,2.5,5700
AAOI,2023-04-04,2.3,2.3,2.2,2.2,80200
AAON,2023-04-04,97.1,97.2,92.8,93.9,461260
AAPB,2023-04-04,23.0,23.0,22.8,22.9,3000
AAPD,2023-04-04,23.4,23.6,23.4,23.6,152400
AAPL,2023-04-04,166.6,166.8,165.1,165.6,44434716
AAPU,2023-04-04,23.7,23.7,23.4,23.5,51100
AAXJ,2023-04-04,68.0,68.0,67.7,68.0,325200
ABCB,2023-04-04,36.0,36.0,34.1,34.7,527655
ABCL,2023-04-04,7.5,7.5,7.2,7.2,1343100
ABCM,2023-04-04,12.8,13.0,12.7,12.8,1052400
ABEO,2023-04-04,2.8,2.9,2.8,2.8,31100
ABIO,2023-04-04,2.0,2.0,1.9,2.0,58600
ABL,2023-04-04,10.3,10.3,10.3,10.3,2500
ABNB,2023-04-04,121.7,122.1,118.2,118.5,3349300
ABOS,2023-04-04,4.3,4.3,3.7,3.8,439700
ABSI,2023-04-04,1.8,1.8,1.7,1.8,310600
ABUS,2023-04-04,3.1,3.1,3.0,3.0,922500
ABVC,2023-04-04,6.4,6.5,6.3,6.4,1331
ACAB,2023-04-04,10.4,10.4,10.4,10.4,4053600
ACABU,2023-04-04,10.4,10.4,10.4,10.4,0
ACABW,2023-04-04,0.0,0.1,0.0,0.1,13215
ACACU,2023-04-04,11.1,11.5,11.1,11.5,1270
ACAD,2023-04-04,19.0,19.1,18.2,18.5,2253400
ACAH,2023-04-04,10.2,10.2,10.1,10.2,500
ACAX,2023-04-04,10.3,10.3,10.3,10.3,0
ACAXU,2023-04-04,10.4,10.4,10.4,10.4,0
ACB,2023-04-04,0.7,0.7,0.7,0.7,3042000
ACBA,2023-04-04,10.9,10.9,10.9,10.9,2100
ACBAU,2023-04-04,10.5,10.5,10.5,10.5,100
ACCD,2023-04-04,13.9,14.0,13.6,13.8,380600
ACDC,2023-04-04,13.8,13.8,12.9,13.2,1104200
ACDCW,2023-04-04,0.0,0.0,0.0,0.0,10156
ACER,2023-04-04,0.9,0.9,0.8,0.8,201100
ACET,2023-04-04,5.8,5.8,5.1,5.3,402000
ACGL,2023-04-04,68.7,68.8,67.2,67.9,2639700
ACGLN,2023-04-04,19.3,19.3,19.1,19.1,44700
ACGLO,2023-04-04,22.9,23.0,22.7,22.9,15700
ACGN,2023-04-04,2.4,2.4,2.3,2.4,12500
