Symbol,Date,Open,High,Low,Close,Volume
AACG,2023-04-05,1.9,1.9,1.8,1.9,8700
AACI,2023-04-05,10.1,10.1,10.1,10.1,5700
AACIU,2023-04-05,10.0,10.0,10.0,10.0,0
AACIW,2023-04-05,0.1,0.1,0.1,0.1,560
AADI,2023-04-05,7.3,7.4,7.2,7.2,89800
AADR,2023-04-05,47.6,47.6,47.0,47.2,3800
AAL,2023-04-05,14.1,14.1,13.7,13.9,19213300
AAME,2023-04-05,2.5,2.5,2.4,2.5,5700
AAOI,2023-04-05,2.2,2.2,2.0,2.1,129400
AAON,2023-04-05,93.2,94.2,91.0,92.8,427294
AAPB,2023-04-05,22.3,22.4,21.9,22.4,6700
AAPD,2023-04-05,23.7,24.1,23.6,23.8,149200
AAPL,2023-04-05,164.7,165.1,161.8,163.8,51300372
AAPU,2023-04-05,23.2,23.3,22.7,23.0,168000
AAXJ,2023-04-05,67.9,68.0,67.3,67.5,253700
ABCB,2023-04-05,34.3,34.5,33.3,33.6,617077
ABCL,2023-04-05,7.2,7.3,7.1,7.2,1130000
ABCM,2023-04-05,12.7,12.9,12.5,12.6,375900
ABEO,2023-04-05,2.8,2.8,2.8,2.8,47300
ABIO,2023-04-05,2.0,2.0,1.9,2.0,37800
ABL,2023-04-05,10.3,10.3,10.3,10.3,300
ABNB,2023-04-05,117.9,117.9,111.5,115.3,6737000
ABOS,2023-04-05,3.9,4.0,3.8,3.8,91300
ABSI,2023-04-05,1.8,1.8,1.6,1.7,250800
ABUS,2023-04-05,3.0,3.0,2.9,2.9,1199000
ABVC,2023-04-05,6.4,6.4,5.9,6.2,1323
ACAB,2023-04-05,10.4,10.4,10.4,10.4,22000
ACABU,2023-04-05,10.4,10.4,10.4,10.4,0
ACACU,2023-04-05,11.1,11.5,11.1,11.5,752
ACAD,2023-04-05,18.4,18.7,18.2,18.3,882200
ACAH,2023-04-05,10.1,10.1,10.1,10.1,700
ACAX,2023-04-05,10.3,10.3,10.3,10.3,600
ACAXU,2023-04-05,10.4,10.4,10.4,10.4,0
ACB,2023-04-05,0.7,0.7,0.6,0.6,2572300
ACBA,2023-04-05,10.9,10.9,10.9,10.9,700
ACBAU,2023-04-05,10.9,10.9,10.8,10.9,640
ACBAW,2023-04-05,0.0,0.0,0.0,0.0,454
ACCD,2023-04-05,13.8,13.8,13.1,13.5,543200
ACDC,2023-04-05,13.0,13.5,12.9,13.4,774400
ACER,2023-04-05,0.9,0.9,0.8,0.8,168500
ACET,2023-04-05,5.6,5.6,5.3,5.5,619700
ACGL,2023-04-05,67.7,68.7,67.3,68.6,1790200
ACGLN,2023-04-05,19.2,19.4,19.1,19.2,110300
ACGLO,2023-04-05,22.9,23.0,22.7,22.8,14700
ACGN,2023-04-05,2.4,2.5,2.4,2.5,5500
ACHC,2023-04-05,71.7,73.1,71.5,72.6,458300
ACHL,2023-04-05,1.0,1.0,0.9,0.9,62000
ACHV,2023-04-05,6.8,6.9,6.6,6.7,74100
ACIU,2023-04-05,2.2,2.3,2.2,2.2,16400
ACIW,2023-04-05,26.0,26.1,25.7,25.9,465800
ACLS,2023-04-05,126.8,127.5,124.2,126.9,546300
ACLX,2023-04-05,28.0,29.1,27.3,27.5,401500
ACMR,2023-04-05,11.0,11.0,10.6,10.7,577200
ACNB,2023-04-05,30.4,32.0,29.7,30.3,7448
ACNT,2023-04-05,9.0,9.0,8.7,8.9,13500
ACON,2023-04-05,0.7,0.7,0.7,0.7,1600
ACOR,2023-04-05,10.7,11.0,10.0,10.3,3325
ACRS,2023-04-05,8.7,8.8,8.4,8.7,573800
ACRV,2023-04-05,11.2,11.7,10.3,10.3,32800
ACRX,2023-04-05,0.6,0.6,0.6,0.6,85700
ACST,2023-04-05,2.9,2.9,2.6,2.6,18892
ACT,2023-04-05,22.7,22.9,22.6,22.8,87100
ACTG,2023-04-05,3.7,3.8,3.7,3.8,235000
ACVA,2023-04-05,12.4,12.4,12.0,12.2,774300
ACWI,2023-04-05,91.1,91.2,90.6,90.9,1678700
ACWX,2023-04-05,48.9,49.0,48.6,48.8,1808900
ACXP,2023-04-05,3.4,3.5,3.3,3.5,20100
ADAG,2023-04-05,1.4,1.5,1.4,1.4,2200
ADAP,2023-04-05,1.0,1.0,1.0,1.0,373000
ADBE,2023-04-05,384.1,386.0,377.3,382.0,2277200
ADD,2023-04-05,1.9,1.9,1.8,1.8,70000
ADEA,2023-04-05,8.3,8.4,8.2,8.3,425200
ADERU,2023-04-05,10.2,10.2,10.2,10.2,0
ADERW,2023-04-05,0.0,0.0,0.0,0.0,30000
ADES,2023-04-05,2.0,2.1,2.0,2.1,22900
ADI,2023-04-05,194.4,194.5,189.1,190.4,3326823
ADIL,2023-04-05,0.3,0.3,0.3,0.3,95300
ADILW,2023-04-05,0.1,0.1,0.0,0.1,6715
ADMA,2023-04-05,3.2,3.3,3.1,3.2,2219600
ADMP,2023-04-05,7.5,7.7,6.9,7.0,20885
ADN,2023-04-05,1.0,1.1,1.0,1.1,432300
ADNWW,2023-04-05,0.1,0.1,0.1,0.1,59513
ADOC,2023-04-05,10.8,10.8,10.8,10.8,0
ADOCR,2023-04-05,0.2,0.2,0.2,0.2,411
ADP,2023-04-05,213.4,214.6,211.3,213.2,2223654
ADPT,2023-04-05,8.6,8.7,8.4,8.4,589200
ADSE,2023-04-05,2.4,2.7,2.4,2.6,7800
ADSK,2023-04-05,201.6,202.4,195.9,197.6,1518000
ADTH,2023-04-05,1.6,1.6,1.5,1.6,34600
ADTN,2023-04-05,15.3,15.3,15.0,15.2,268687
ADTX,2023-04-05,0.8,0.9,0.8,0.9,14800
ADUS,2023-04-05,104.4,108.6,102.9,108.2,116400
ADV,2023-04-05,1.6,1.6,1.4,1.5,487300
ADVM,2023-04-05,0.7,0.7,0.7,0.7,41700
ADVWW,2023-04-05,0.1,0.1,0.1,0.1,6803
ADXN,2023-04-05,0.9,1.0,0.6,0.8,5121600
AEAE,2023-04-05,10.4,10.4,10.4,10.4,18300
AEAEU,2023-04-05,10.5,10.5,10.5,10.5,200
AEHL,2023-04-05,1.0,1.0,1.0,1.0,134100
AEHR,2023-04-05,29.6,30.4,27.1,27.6,2780100
AEI,2023-04-05,1.5,1.5,1.4,1.4,20100
AEIS,2023-04-05,92.9,94.1,90.8,91.2,140193
AEMD,2023-04-05,0.4,0.4,0.4,0.4,36400
AENT,2023-04-05,3.5,3.5,3.5,3.5,0
AENTW,2023-04-05,0.1,0.1,0.1,0.1,0
AEP,2023-04-05,91.8,94.9,91.7,94.5,4036114
AEPPZ,2023-04-05,50.6,51.3,50.6,51.1,129600
AEY,2023-04-05,1.1,1.1,1.1,1.1,14600
AEYE,2023-04-05,7.4,7.5,6.8,6.8,36000
AEZS,2023-04-05,2.5,2.6,2.4,2.5,20000
AFAR,2023-04-05,10.4,10.4,10.4,10.4,0
AFARU,2023-04-05,10.7,10.7,10.7,10.7,0
AFBI,2023-04-05,14.2,14.6,14.2,14.5,5100
AFCG,2023-04-05,11.5,11.6,11.4,11.4,226614
AFIB,2023-04-05,0.8,0.8,0.7,0.7,117800
AFMD,2023-04-05,0.7,0.8,0.7,0.7,512400
AFRI,2023-04-05,11.2,11.2,11.2,11.2,1000
AFRM,2023-04-05,10.6,10.8,10.0,10.4,9749600
AFYA,2023-04-05,10.3,11.4,10.2,10.6,196200
AGAE,2023-04-05,1.2,1.2,1.1,1.1,22200
AGBA,2023-04-05,1.5,1.6,1.4,1.5,82400
AGBAW,2023-04-05,0.0,0.0,0.0,0.0,3512
AGEN,2023-04-05,1.5,1.5,1.4,1.5,2974700
AGFY,2023-04-05,3.2,3.2,2.8,3.0,52953
AGIL,2023-04-05,3.1,3.2,2.9,3.1,104100
AGIO,2023-04-05,21.5,21.9,21.3,21.7,330700
AGLE,2023-04-05,0.3,0.3,0.3,0.3,239800
AGMH,2023-04-05,2.4,2.4,2.2,2.3,8800
AGNC,2023-04-05,10.1,10.4,10.1,10.3,9602943
AGNCL,2023-04-05,21.5,21.6,21.5,21.5,8400
AGNCM,2023-04-05,20.4,20.7,20.4,20.5,10600
AGNCN,2023-04-05,24.0,24.2,23.9,24.0,53300
AGNCO,2023-04-05,20.4,20.6,20.4,20.5,38900
AGNCP,2023-04-05,19.2,19.4,19.1,19.1,78600
AGNG,2023-04-05,27.0,27.1,27.0,27.0,1900
AGRI,2023-04-05,0.6,0.7,0.6,0.6,143900
AGRIW,2023-04-05,0.1,0.1,0.1,0.1,133
AGRX,2023-04-05,11.5,11.5,10.9,11.1,2933
AGYS,2023-04-05,83.0,83.1,79.7,81.2,76000
AGZD,2023-04-05,43.5,43.6,43.4,43.5,6000
AHCO,2023-04-05,12.3,12.4,12.0,12.1,1194200
AHG,2023-04-05,0.3,0.4,0.3,0.3,11000
AHI,2023-04-05,1.5,1.5,1.4,1.4,4382
AIA,2023-04-05,61.6,61.6,60.7,61.0,21300
AIB,2023-04-05,10.5,10.5,10.5,10.5,100
AIH,2023-04-05,1.2,1.3,1.2,1.3,300
AIHS,2023-04-05,0.9,0.9,0.9,0.9,10300
AIMAU,2023-04-05,10.2,10.2,10.2,10.2,0
AIMAW,2023-04-05,0.1,0.1,0.1,0.1,0
AIMBU,2023-04-05,10.4,10.4,10.4,10.4,1768
AIMD,2023-04-05,0.9,0.9,0.9,0.9,13900
AIP,2023-04-05,4.6,4.7,4.4,4.4,72600
AIQ,2023-04-05,24.3,24.3,23.8,23.9,49400
AIRG,2023-04-05,5.6,5.7,5.6,5.6,2300
AIRR,2023-04-05,45.9,45.9,44.7,45.1,73100
AIRS,2023-04-05,4.8,4.9,4.6,4.8,179600
AIRT,2023-04-05,24.0,24.0,22.8,23.2,2200
AIRTP,2023-04-05,21.3,21.3,21.3,21.3,2100
AKAM,2023-04-05,77.7,77.8,76.9,77.4,1425900
AKAN,2023-04-05,1.0,1.0,0.8,0.9,82200
AKBA,2023-04-05,0.5,0.5,0.5,0.5,905400
AKLI,2023-04-05,1.5,1.6,1.5,1.5,12200
AKRO,2023-04-05,37.6,38.6,36.4,36.9,633700
AKTS,2023-04-05,2.9,3.0,2.7,2.8,422200
AKTX,2023-04-05,0.2,0.2,0.2,0.2,314000
AKU,2023-04-05,0.7,0.7,0.6,0.6,63100
AKYA,2023-04-05,7.7,7.7,7.3,7.4,71000
ALAR,2023-04-05,3.0,3.0,2.2,2.6,178300
ALBT,2023-04-05,1.9,1.9,1.8,1.9,18600
ALCO,2023-04-05,23.9,24.1,23.7,23.8,49894
ALDX,2023-04-05,9.8,9.9,9.4,9.7,832700
ALEC,2023-04-05,6.0,6.2,5.9,6.2,735700
ALGM,2023-04-05,45.6,46.1,44.8,45.6,1325900
ALGN,2023-04-05,324.4,324.4,314.2,317.0,526500
ALGS,2023-04-05,0.9,1.0,0.9,0.9,24300
ALGT,2023-04-05,89.8,89.8,86.9,87.5,212300
