Symbol,Date,Open,High,Low,Close,Volume
AACG,2023-06-26,1.4,1.4,1.4,1.4,3000
AACI,2023-06-26,10.3,10.3,10.3,10.3,10300
AACIU,2023-06-26,10.3,10.3,10.3,10.3,0
AACIW,2023-06-26,0.1,0.1,0.1,0.1,0
AADI,2023-06-26,7.9,8.1,7.3,7.3,222300
AADR,2023-06-26,48.8,48.8,48.8,48.8,100
AAL,2023-06-26,16.1,16.5,16.1,16.4,19715400
AAME,2023-06-26,2.0,2.1,2.0,2.0,4100
AAOI,2023-06-26,4.1,4.8,3.9,4.7,1823200
AAON,2023-06-26,95.0,96.8,94.8,95.6,168600
AAPB,2023-06-26,27.6,27.8,27.1,27.1,10900
AAPD,2023-06-26,20.8,21.0,20.7,21.0,140700
AAPL,2023-06-26,186.8,188.1,185.2,185.3,48088700
AAPU,2023-06-26,27.6,27.8,27.2,27.2,84000
AAXJ,2023-06-26,66.3,66.3,66.0,66.0,249500
ABCB,2023-06-26,33.5,34.3,33.5,34.0,399545
ABCL,2023-06-26,7.3,7.3,6.9,6.9,3184400
ABCM,2023-06-26,22.5,23.8,22.5,22.5,3049900
ABEO,2023-06-26,4.9,5.0,4.6,4.8,129700
ABIO,2023-06-26,2.0,2.0,2.0,2.0,18500
ABL,2023-06-26,9.5,10.3,9.5,9.9,22500
ABNB,2023-06-26,122.9,126.7,122.8,123.1,3645800
ABOS,2023-06-26,5.4,5.4,4.8,4.8,178700
ABSI,2023-06-26,1.8,1.9,1.7,1.7,811200
ABUS,2023-06-26,2.4,2.4,2.2,2.3,956700
ABVC,2023-06-26,5.7,5.8,5.4,5.7,2216
ACAB,2023-06-26,10.5,10.5,10.5,10.5,0
ACABU,2023-06-26,11.1,11.1,11.1,11.1,0
ACABW,2023-06-26,0.0,0.0,0.0,0.0,14
ACACU,2023-06-26,10.8,10.8,10.8,10.8,0
ACACW,2023-06-26,0.1,0.1,0.0,0.0,47054
ACAD,2023-06-26,24.5,24.6,23.8,23.9,1134500
ACAH,2023-06-26,10.2,10.2,10.2,10.2,0
ACAX,2023-06-26,10.9,10.9,10.9,10.9,0
ACAXR,2023-06-26,0.2,0.2,0.2,0.2,300
ACAXU,2023-06-26,11.7,11.7,11.7,11.7,0
ACAXW,2023-06-26,0.0,0.0,0.0,0.0,8000
ACB,2023-06-26,0.6,0.6,0.5,0.5,2045500
ACBA,2023-06-26,11.2,11.2,11.2,11.2,3600
ACBAU,2023-06-26,10.9,10.9,10.9,10.9,100
ACBAW,2023-06-26,0.1,0.1,0.1,0.1,0
ACCD,2023-06-26,12.6,12.7,12.2,12.2,687200
ACDC,2023-06-26,11.6,12.0,11.6,11.7,356300
ACDCW,2023-06-26,0.0,0.0,0.0,0.0,730
ACER,2023-06-26,0.9,0.9,0.8,0.9,352700
ACET,2023-06-26,4.7,4.8,4.6,4.7,535500
ACGL,2023-06-26,72.3,72.9,71.1,71.2,1374300
ACGLN,2023-06-26,19.6,19.8,19.4,19.5,26600
ACGLO,2023-06-26,23.2,23.4,23.1,23.1,13300
ACGN,2023-06-26,1.6,1.6,1.5,1.6,7300
ACHC,2023-06-26,75.7,77.0,75.5,76.5,551200
ACHL,2023-06-26,1.0,1.0,1.0,1.0,97300
ACHV,2023-06-26,5.9,5.9,5.3,5.6,148000
ACIU,2023-06-26,1.9,2.0,1.9,2.0,39500
ACIW,2023-06-26,21.6,21.9,21.5,21.6,331100
